cls,outer,L,lr,wd,epochs,inner_ap
IRF,0,64,0.001,0.001,5,0.7954554719008534
IRF,1,64,0.001,0.001,10,0.8280215488627044
IRF,2,64,0.003,0.001,30,0.8044356823227922
IRF,3,32,0.001,0.001,80,0.7309191783246068
IRF,4,64,0.003,0.001,35,0.8477761867411175
SRF,0,32,0.003,0.001,25,0.9386543708454048
SRF,1,32,0.003,0.001,55,0.9321678220814259
SRF,2,32,0.001,0.001,60,0.9392551936201077
SRF,3,32,0.003,0.0001,55,0.9207033690816223
SRF,4,32,0.003,0.001,5,0.9378717647901692
PED,0,64,0.003,0.0001,5,0.9206609229297872
PED,1,32,0.003,0.001,30,0.9768299088008972
PED,2,32,0.003,0.001,10,0.9787285808888939
PED,3,32,0.003,0.0001,45,0.944146316396146
PED,4,32,0.003,0.001,30,0.978447141224054
