encoder,depth,cls,n_seeds,mean,sd,lo,hi
MAE-IN1k,last4,IRF,1,0.735766399443728,,0.4284323331408108,0.8638794535440179
MAE-IN1k,last4,SRF,1,0.9481142610390207,,0.8680911474054526,0.9841474136566448
MAE-IN1k,last4,PED,1,0.8801085608438242,,0.7249524486753968,0.9661807916323145
MAE-IN1k,lp,IRF,3,0.40636633976768244,0.0033542195347659987,0.1333920446550822,0.7012532003721933
MAE-IN1k,lp,SRF,3,0.8755855931756807,0.0008629500975622328,0.7173593171801486,0.9650084388058141
MAE-IN1k,lp,PED,3,0.7374269927590446,0.007124112196878579,0.5944111474820369,0.9050257958230654
RETFound,full,IRF,3,0.7736064136824291,0.0111009905751357,0.5550495547214724,0.9007442730301481
RETFound,full,SRF,3,0.9847575366035541,0.0006612560949425845,0.9557650044722145,0.9962704393387309
RETFound,full,PED,3,0.9550659462393464,0.002761310215541214,0.8876987540648587,0.9855399477953675
RETFound,last4,IRF,3,0.7838460728995996,0.012162572787277094,0.576965643945728,0.8982383689521016
RETFound,last4,SRF,3,0.9841094378564575,0.000395243234732631,0.9588096277859034,0.9962786512479864
RETFound,last4,PED,3,0.9635954350960146,0.004735175835060063,0.9058123346935518,0.987494009019353
RETFound,lp,IRF,3,0.6779606558645602,0.004622675293669513,0.43968072134765696,0.8679399567428692
RETFound,lp,SRF,3,0.9718252028317093,0.000796652918065269,0.9265095927463676,0.9919757743370281
RETFound,lp,PED,3,0.8911563040161706,0.0031600209823316695,0.7632288464882461,0.9666651911591856
Sup-IN21k,last4,IRF,1,0.7565737133306139,,0.4743324737419944,0.8764404120408574
Sup-IN21k,last4,SRF,1,0.9318805668938527,,0.8296860645064394,0.9796709711314185
Sup-IN21k,last4,PED,1,0.8846806206963708,,0.7360005915567022,0.9667418660276981
Sup-IN21k,lp,IRF,3,0.6376804641405175,0.005308500001428242,0.33005424021244995,0.8235582589332169
Sup-IN21k,lp,SRF,3,0.9011072854582173,0.0002361996216938939,0.7699481681327163,0.9696263401935824
Sup-IN21k,lp,PED,3,0.8025796788402298,0.000816307730634544,0.6243097948165744,0.943544680680231
