encoder,depth,cls,bin,lo_edge,hi_edge,n,recall,sd
MAE-IN1k,last4,IRF,2,0.21590570190034555,0.5792093186649748,35,0.37142857142857144,
MAE-IN1k,last4,IRF,3,0.5792093186649748,1.5538424037693628,33,0.696969696969697,
MAE-IN1k,last4,SRF,1,0.08048087385839177,0.21590570190034555,19,0.15789473684210525,
MAE-IN1k,last4,SRF,2,0.21590570190034555,0.5792093186649748,33,0.42424242424242425,
MAE-IN1k,last4,SRF,3,0.5792093186649748,1.5538424037693628,53,0.5094339622641509,
MAE-IN1k,last4,SRF,4,1.5538424037693628,4.168486483119412,109,0.9174311926605505,
MAE-IN1k,last4,SRF,5,4.168486483119412,11.182781160944813,74,0.9324324324324325,
MAE-IN1k,last4,PED,1,0.08048087385839177,0.21590570190034555,22,0.5,
MAE-IN1k,last4,PED,2,0.21590570190034555,0.5792093186649748,48,0.6458333333333334,
MAE-IN1k,last4,PED,3,0.5792093186649748,1.5538424037693628,85,0.8705882352941177,
MAE-IN1k,last4,PED,4,1.5538424037693628,4.168486483119412,99,0.9090909090909091,
MAE-IN1k,lp,IRF,2,0.21590570190034555,0.5792093186649748,35,0.3333333333333333,0.016495721976846456
MAE-IN1k,lp,IRF,3,0.5792093186649748,1.5538424037693628,33,0.6565656565656566,0.034990925405431896
MAE-IN1k,lp,SRF,1,0.08048087385839177,0.21590570190034555,19,0.43859649122807015,0.16918685545601675
MAE-IN1k,lp,SRF,2,0.21590570190034555,0.5792093186649748,33,0.5555555555555556,0.15550307392263285
MAE-IN1k,lp,SRF,3,0.5792093186649748,1.5538424037693628,53,0.5408805031446541,0.07625380913825244
MAE-IN1k,lp,SRF,4,1.5538424037693628,4.168486483119412,109,0.7981651376146789,0.0966573738793829
MAE-IN1k,lp,SRF,5,4.168486483119412,11.182781160944813,74,0.9009009009009009,0.05461421465307271
MAE-IN1k,lp,PED,1,0.08048087385839177,0.21590570190034555,22,0.5606060606060606,0.17208813169091736
MAE-IN1k,lp,PED,2,0.21590570190034555,0.5792093186649748,48,0.6319444444444445,0.11474105306846047
MAE-IN1k,lp,PED,3,0.5792093186649748,1.5538424037693628,85,0.7176470588235294,0.07347056468704001
MAE-IN1k,lp,PED,4,1.5538424037693628,4.168486483119412,99,0.8552188552188552,0.049827099619356
RETFound,full,IRF,2,0.21590570190034555,0.5792093186649748,35,0.7238095238095239,0.08728715609439698
RETFound,full,IRF,3,0.5792093186649748,1.5538424037693628,33,0.7979797979797979,0.017495462702715982
RETFound,full,SRF,1,0.08048087385839177,0.21590570190034555,19,0.5087719298245613,0.030386856273138196
