depth,control,cls,stratum,n,n_pat,seeds,rec_ret,rec_ctl,delta,sd_seed,lo,hi,p,p_holm,sig
lp,Sup-IN21k,IRF,sub-patch,79,10,3v3,0.43037974683544306,0.6075949367088608,-0.17721518987341772,0.01265822784810125,-0.39662447257383965,0.23134353741496527,0.3255348930213957,1.0,
lp,Sup-IN21k,SRF,sub-patch,88,14,3v3,0.4356060606060606,0.32196969696969696,0.11363636363636365,0.02365529544847876,-0.06977056764191049,0.25510309061896363,0.22955408918216358,1.0,
lp,Sup-IN21k,SRF,above-patch,209,12,3v3,0.9250398724082934,0.7894736842105262,0.13556618819776722,0.0027624414793761503,0.05349697181458186,0.2320483373683447,0.001999600079984003,0.033993201359728054,**
lp,Sup-IN21k,PED,sub-patch,119,19,3v3,0.4957983193277311,0.6442577030812325,-0.14845938375350143,0.06563235021770297,-0.33003300330033,0.04611760740870967,0.13437312537492502,1.0,
lp,Sup-IN21k,PED,above-patch,181,14,3v3,0.8674033149171271,0.9318600368324126,-0.06445672191528551,0.014617410558367867,-0.13855643814194826,-0.005553840877914959,0.03279344131173765,0.36072785442911415,*
lp,MAE-IN1k,IRF,sub-patch,79,10,3v3,0.43037974683544306,0.3881856540084388,0.04219409282700426,0.01265822784810125,-0.034199134199134236,0.16352201257861632,0.39832033593281346,1.0,
lp,MAE-IN1k,SRF,sub-patch,88,14,3v3,0.4356060606060606,0.5416666666666666,-0.10606060606060602,0.02365529544847876,-0.29698593073593077,0.06082986683410512,0.2571485702859428,1.0,
lp,MAE-IN1k,SRF,above-patch,209,12,3v3,0.9250398724082934,0.8022328548644339,0.12280701754385959,0.0027624414793761503,0.049719979222741746,0.22363110922893487,0.0011997600479904018,0.02159568086382723,**
lp,MAE-IN1k,PED,sub-patch,119,19,3v3,0.4957983193277311,0.638655462184874,-0.1428571428571429,0.06563235021770297,-0.33333333333333337,0.018973641965718963,0.09038192361527694,0.9038192361527695,
lp,MAE-IN1k,PED,above-patch,181,14,3v3,0.8674033149171271,0.847145488029466,0.02025782688766109,0.014617410558367867,-0.13390446521287644,0.19340549419645128,0.9210157968406318,1.0,
last4,Sup-IN21k,IRF,sub-patch,79,10,3v3,0.6708860759493671,0.5189873417721519,0.15189873417721522,0.03797468354430378,0.043134092346616026,0.27976374191651965,0.009198160367926415,0.1287742451509698,*
last4,Sup-IN21k,SRF,sub-patch,88,14,3v3,0.481060606060606,0.20454545454545456,0.2765151515151515,0.023655295448478778,0.09384225274291577,0.4785040890504315,0.0027994401119776045,0.041991601679664065,**
last4,Sup-IN21k,SRF,above-patch,209,12,3v3,0.9569377990430622,0.8165869218500799,0.14035087719298234,0.004784688995215336,0.05841861690119649,0.2551216175828218,0.0003999200159968006,0.007998400319936013,**
last4,Sup-IN21k,PED,sub-patch,119,19,3v3,0.5994397759103641,0.5602240896358543,0.039215686274509776,0.004851682934366586,-0.15152844231791598,0.20911889161889116,0.73625274945011,1.0,
last4,Sup-IN21k,PED,above-patch,181,14,3v3,0.9484346224677717,0.8692449355432781,0.07918968692449357,0.015948902463801776,0.014283181357649503,0.16129032258064513,0.001999600079984003,0.033993201359728054,**
last4,MAE-IN1k,IRF,sub-patch,79,10,3v3,0.6708860759493671,0.4936708860759494,0.17721518987341772,0.03797468354430378,0.05226244343891407,0.2567109674329502,0.011597680463907219,0.13917216556688664,*
last4,MAE-IN1k,SRF,sub-patch,88,14,3v3,0.481060606060606,0.3446969696969697,0.1363636363636363,0.023655295448478792,-0.03546505332683666,0.37037037037037035,0.14637072585482905,1.0,
last4,MAE-IN1k,SRF,above-patch,209,12,3v3,0.9569377990430622,0.8516746411483253,0.10526315789473695,0.004784688995215336,0.008769081795397614,0.20783547092439883,0.009198160367926415,0.1287742451509698,*
last4,MAE-IN1k,PED,sub-patch,119,19,3v3,0.5994397759103641,0.5574229691876751,0.04201680672268904,0.004851682934366586,-0.17857142857142855,0.2236566213921901,0.7354529094181164,1.0,
last4,MAE-IN1k,PED,above-patch,181,14,3v3,0.9484346224677717,0.8342541436464087,0.11418047882136295,0.015948902463801776,0.05797101449275366,0.19047619047619047,0.0003999200159968006,0.007998400319936013,**
