arm,depth,input_size,cls,auprc,lo,hi,trainable_M,prevalence,n_seeds
lp_224,linear probe,224,IRF,0.6831269485467222,0.43719287141269686,0.8719921594495109,0.003,0.26818183064460754,3
lp_224,linear probe,224,SRF,0.9722208602689549,0.9254986093434334,0.9921702777569685,0.003,0.675000011920929,3
lp_224,linear probe,224,PED,0.8888860651450781,0.7565866301337213,0.966634916322327,0.003,0.6818181872367859,3
last4_224,last-4,224,IRF,0.7906341980612468,0.5854286682020339,0.9005397880533719,50.0,0.26818183064460754,3
last4_224,last-4,224,SRF,0.9845604767820557,0.9564056700783566,0.9963494964155222,50.0,0.675000011920929,3
last4_224,last-4,224,PED,0.9595376013195611,0.9040126007655678,0.9870020046923915,50.0,0.6818181872367859,3
last4_448,last-4,448,IRF,0.8057132033004787,0.5308598752177173,0.9172983504226832,50.0,0.26818183064460754,1
last4_448,last-4,448,SRF,0.9773090856995118,0.9329259905239122,0.9948658167656164,50.0,0.675000011920929,1
last4_448,last-4,448,PED,0.9142380045624631,0.8012436179044091,0.9763529072305742,50.0,0.6818181872367859,1
full_224,full FT,224,IRF,0.7854888098864773,0.5638376417651637,0.9024591697838418,303.0,0.26818183064460754,3
full_224,full FT,224,SRF,0.9843584407823276,0.9547274314040707,0.996426636907972,303.0,0.675000011920929,3
full_224,full FT,224,PED,0.9519147274237845,0.8881095987001991,0.9850556954304447,303.0,0.6818181872367859,3
full_384,full FT,384,IRF,0.7993647713064111,0.57535217053663,0.91369924368393,303.0,0.26818183064460754,1
full_384,full FT,384,SRF,0.9787024006977404,0.9384648805827978,0.9947786935746558,303.0,0.675000011920929,1
full_384,full FT,384,PED,0.9420579679117767,0.8646653182896116,0.9865207416464293,303.0,0.6818181872367859,1
