bin,lo_edge,hi_edge,x,n,n_patients,reportable,recall,lo,hi,dataset,cls,n_positive
0,0.029999999999999995,0.08048087385839177,0.04913681120862192,44,30,True,0.3181818181818182,0.15997727272727272,0.5,AMD-SD,IRF,727
1,0.08048087385839177,0.21590570190034555,0.1318191168228237,102,47,True,0.5490196078431373,0.3917413715822501,0.6940344763784384,AMD-SD,IRF,727
2,0.21590570190034555,0.5792093186649748,0.3536305904380761,160,43,True,0.71875,0.5676612903225806,0.8421310629514962,AMD-SD,IRF,727
3,0.5792093186649748,1.5538424037693628,0.9486832980505134,180,38,True,0.8777777777777778,0.7649925484351714,0.9548022598870056,AMD-SD,IRF,727
4,1.5538424037693628,4.168486483119412,2.545028694732215,162,25,True,0.9382716049382716,0.8373458952087419,1.0,AMD-SD,IRF,727
5,4.168486483119412,11.182781160944813,6.827537778224362,67,9,True,1.0,1.0,1.0,AMD-SD,IRF,727
6,11.182781160944813,29.999999999999996,18.31620688975598,0,0,False,,,,AMD-SD,IRF,727
0,0.029999999999999995,0.08048087385839177,0.04913681120862192,32,20,True,0.1875,0.05555555555555555,0.3548387096774194,AMD-SD,SRF,1789
1,0.08048087385839177,0.21590570190034555,0.1318191168228237,102,43,True,0.3333333333333333,0.23076923076923078,0.4505533199195171,AMD-SD,SRF,1789
2,0.21590570190034555,0.5792093186649748,0.3536305904380761,249,61,True,0.6546184738955824,0.5330341197081285,0.7645043664065402,AMD-SD,SRF,1789
3,0.5792093186649748,1.5538424037693628,0.9486832980505134,434,74,True,0.8778801843317973,0.8058329923622477,0.9402721800922734,AMD-SD,SRF,1789
4,1.5538424037693628,4.168486483119412,2.545028694732215,544,60,True,0.9705882352941176,0.9374971224677716,0.9942348130841121,AMD-SD,SRF,1789
5,4.168486483119412,11.182781160944813,6.827537778224362,367,44,True,0.9836512261580381,0.9557517672406118,1.0,AMD-SD,SRF,1789
6,11.182781160944813,29.999999999999996,18.31620688975598,52,8,True,1.0,1.0,1.0,AMD-SD,SRF,1789
0,0.029999999999999995,0.08048087385839177,0.04913681120862192,43,23,True,0.3023255813953488,0.08823529411764706,0.492499999999999,AMD-SD,PED,2084
1,0.08048087385839177,0.21590570190034555,0.1318191168228237,126,58,True,0.35714285714285715,0.25,0.47368421052631576,AMD-SD,PED,2084
2,0.21590570190034555,0.5792093186649748,0.3536305904380761,326,96,True,0.6073619631901841,0.5077352613807488,0.6923252279635257,AMD-SD,PED,2084
3,0.5792093186649748,1.5538424037693628,0.9486832980505134,551,107,True,0.7622504537205081,0.6774621654840631,0.8378884460448871,AMD-SD,PED,2084
4,1.5538424037693628,4.168486483119412,2.545028694732215,567,84,True,0.9135802469135802,0.8630309651875093,0.9574477917174657,AMD-SD,PED,2084
5,4.168486483119412,11.182781160944813,6.827537778224362,372,42,True,0.9919354838709677,0.9830496470927163,1.0,AMD-SD,PED,2084
6,11.182781160944813,29.999999999999996,18.31620688975598,96,14,True,1.0,1.0,1.0,AMD-SD,PED,2084
