depth,pooling,cls,auprc,lo,hi,trainable_M
frozen,mean,IRF,0.7071402587099167,0.4817327019209499,0.8469735907994177,0.003
frozen,mean,SRF,0.9705839120982626,0.9174408405439534,0.9923318228520196,0.003
frozen,mean,PED,0.9194035688441279,0.8188482092778189,0.971179914207611,0.003
frozen,attn,IRF,0.8067425443346076,0.5628539319648984,0.9335059453574797,0.069
frozen,attn,SRF,0.9837413779665105,0.9533767314376529,0.996451059840012,0.069
frozen,attn,PED,0.9629386977797365,0.9127532807832706,0.9878018959203787,0.069
last-4,mean,IRF,0.7906341980612468,0.5854286682020339,0.9005397880533719,50.0
last-4,mean,SRF,0.9845604767820557,0.9564056700783566,0.9963494964155222,50.0
last-4,mean,PED,0.9595376013195611,0.9040126007655678,0.9870020046923915,50.0
last-4,attn,IRF,0.7857390385831694,0.5883472031571134,0.8978595817828415,50.07
last-4,attn,SRF,0.9825429694087374,0.9515416334656904,0.9956120719117704,50.07
last-4,attn,PED,0.9633856582069209,0.9135204307797877,0.9880068476446,50.07
