pool,cls,seed,auprc,auroc,recall,spec,thr,L,lr,wd,epochs
mean,IRF,0,0.7071402587099167,0.838219812611854,0.5677966101694916,0.9099378881987578,0.4,64,0.001,0.001,5
mean,SRF,0,0.9705839120982626,0.9302112029384757,0.7373737373737373,0.9790209790209791,0.77,32,0.003,0.001,55
mean,PED,0,0.9194035688441279,0.825047619047619,0.7866666666666666,0.6214285714285714,0.78,32,0.003,0.001,30
attn,IRF,0,0.8109076818767865,0.8919886303821455,0.711864406779661,0.9440993788819876,0.02,64,0.001,0.001,5
attn,IRF,1,0.8015032709720173,0.8881198020844299,0.7033898305084746,0.9440993788819876,0.03,64,0.001,0.001,5
attn,IRF,2,0.8060359356902383,0.8874618380882198,0.6949152542372882,0.9440993788819876,0.03,64,0.001,0.001,5
attn,SRF,0,0.9843361031876613,0.9601610510701419,0.8754208754208754,0.972027972027972,0.27,32,0.003,0.001,55
attn,SRF,1,0.9840847226683175,0.9609145063690518,0.8585858585858586,0.9790209790209791,0.75,32,0.003,0.001,55
attn,SRF,2,0.9823162647336164,0.9543924089378636,0.8787878787878788,0.9790209790209791,0.07,32,0.003,0.001,55
attn,PED,0,0.966012174502181,0.9304285714285714,0.9133333333333333,0.7571428571428571,0.98,32,0.003,0.001,30
attn,PED,1,0.9589302040109176,0.9170714285714286,0.9066666666666666,0.75,0.74,32,0.003,0.001,30
attn,PED,2,0.9595818052567682,0.9201904761904762,0.9166666666666666,0.7571428571428571,0.92,32,0.003,0.001,30
