pool,cls,oof_auprc,oof_auroc
mean,IRF,0.7556302986019674,0.8632660098522168
mean,SRF,0.9435304268227326,0.9257022232569526
mean,PED,0.9109118959383652,0.8328060877836662
max,IRF,0.6721385092729636,0.7996781609195402
max,SRF,0.9434533845794207,0.9187999980798818
max,PED,0.916860495277491,0.8414376953390407
topk,IRF,0.6766242526301753,0.8192126436781608
topk,SRF,0.9248652243206927,0.9107853043747495
topk,PED,0.9109098220089376,0.8268338089414323
attn,IRF,0.8190627778860912,0.8854302134646963
attn,SRF,0.9460073668416413,0.9363234775262156
attn,PED,0.9526359415148052,0.8994938170947139
