pool,seed,cls,oof_auprc
mean,0,IRF,0.7556302986019674
mean,0,SRF,0.9435304268227326
mean,0,PED,0.9109118959383652
mean+mlp,0,IRF,0.7037434078020143
mean+mlp,0,SRF,0.9387333905487707
mean+mlp,0,PED,0.9111926699693045
mean+mlp,1,IRF,0.7305414116183161
mean+mlp,1,SRF,0.9467480979204835
mean+mlp,1,PED,0.9072609099440998
mean+mlp,2,IRF,0.708563819904491
mean+mlp,2,SRF,0.9390381133045111
mean+mlp,2,PED,0.8953547159585666
attn,0,IRF,0.8113496007518205
attn,0,SRF,0.9623319721144319
attn,0,PED,0.9501991599753352
attn,1,IRF,0.8258652663187231
attn,1,SRF,0.9617029262299257
attn,1,PED,0.9525883859007904
attn,2,IRF,0.8209452671146429
attn,2,SRF,0.936337779889908
attn,2,PED,0.9402104723241153
