family,comparison,cls,delta,lo,hi,p,seeds,p_holm,sig
Depth,last-4 - LP,IRF,0.10571478546863344,-0.040967610057820805,0.27046741726324985,0.14397120575884823,3v3,,
Depth,last-4 - LP,SRF,0.013211938133635415,0.0007701553095237263,0.04264983864399853,0.030393921215756847,3v3,,(uncorr)
Depth,last-4 - LP,PED,0.0724136666323355,0.0106660506682049,0.16520551957773258,0.007598480303939212,3v3,,(uncorr)
Depth,full FT - last-4,IRF,-0.007592574073874925,-0.07031751884751915,0.03111068499657419,0.8166366726654669,3v3,,
Depth,full FT - last-4,SRF,-0.00041006655953745863,-0.006498581960129415,0.0038242983906482835,0.989002199560088,3v3,,
Depth,full FT - last-4,PED,-0.007205367237479554,-0.023874797710633357,0.002986133854971106,0.1835632873425315,3v3,,
Resolution,"384 - 224, full FT",IRF,0.023456513677351798,-0.005188965771062508,0.0592075415994607,0.08878224355128975,1v3,,
Resolution,"384 - 224, full FT",SRF,-0.00597175763805291,-0.027331229193371043,0.003956133601914562,0.2551489702059588,1v3,,
Resolution,"384 - 224, full FT",PED,-0.014544792643562676,-0.04467636733499,0.010943967960048364,0.29514097180563886,1v3,,
Resolution,"384 - 224, frozen probe",IRF,-0.06381222281985788,-0.19505293825315909,0.006795167257771749,0.08638272345530894,1v1,,
Resolution,"384 - 224, frozen probe",SRF,-0.0037432820325582483,-0.05394461320911666,0.03290379189473981,0.8594281143771246,1v1,,
Resolution,"384 - 224, frozen probe",PED,-0.037387877357136556,-0.15860490916254238,0.05207605787905542,0.7146570685862828,1v1,,
Resolution,"448 - 224, last-4",IRF,0.02221237159754441,-0.074360797337791,0.11079621973284391,0.7818436312737452,1v3,,
Resolution,"448 - 224, last-4",SRF,-0.007775139195818959,-0.03546071802856897,0.004242474964956034,0.2903419316136773,1v3,,
Resolution,"448 - 224, last-4",PED,-0.04957012323035581,-0.13017686030218295,-0.002688616504117558,0.029994001199760048,1v3,,(uncorr)
Encoder,"RETFound - MAE-IN1k, LP",IRF,0.2707101107933194,0.0389073754526649,0.486759170562037,0.024795040991801638,3v3,0.14877024595080984,
Encoder,"RETFound - MAE-IN1k, LP",SRF,0.09636540907361058,0.021828400124539807,0.22846732835903363,0.0003999200159968006,3v3,0.004799040191961607,**
Encoder,"RETFound - MAE-IN1k, LP",PED,0.15402717617353168,0.026009445482833536,0.23620025423222432,0.01759648070385923,3v3,0.1231753649270146,
Encoder,"RETFound - MAE-IN1k, last-4",IRF,0.04084232148023148,-0.04963313092786413,0.165934954095496,0.3583283343331334,3v3,1.0,
Encoder,"RETFound - MAE-IN1k, last-4",SRF,0.029458867429075775,0.0071899212570605605,0.07750023817558602,0.0003999200159968006,3v3,0.004799040191961607,**
Encoder,"RETFound - MAE-IN1k, last-4",PED,0.08787467795022874,0.01029512488680528,0.22451841016612986,0.003199360127974405,3v3,0.02559488102379524,**
Encoder,"RETFound - Sup-IN21k, LP",IRF,0.03983799168558655,-0.10781441428599334,0.27545536287275796,0.5966806638672265,3v3,1.0,
Encoder,"RETFound - Sup-IN21k, LP",SRF,0.07058016463744976,0.015952101209829796,0.16824508547136344,0.0011997600479904018,3v3,0.010797840431913616,**
Encoder,"RETFound - Sup-IN21k, LP",PED,0.0879792084493577,-0.015447833008116347,0.17134723581092204,0.10517896420715857,3v3,0.42071585682863427,
Encoder,"RETFound - Sup-IN21k, last-4",IRF,0.01261961011244328,-0.10474679904784175,0.14119147436763654,0.7178564287142571,3v3,1.0,
Encoder,"RETFound - Sup-IN21k, last-4",SRF,0.045987473559016556,0.00935736237040391,0.12799953773227937,0.0007998400319936012,3v3,0.007998400319936013,**
Encoder,"RETFound - Sup-IN21k, last-4",PED,0.07272813761078545,0.0032492302977611244,0.19170166700140806,0.028794241151769647,3v3,0.14877024595080984,
