arm,n_patients,seed,cls,auprc,auroc,recall,spec,thr
frozen_attn,15,0,IRF,0.823164674537608,0.885777450257922,0.423728813559322,0.9906832298136646,0.26
frozen_attn,15,0,SRF,0.973278710001684,0.9360975724612088,0.8013468013468014,0.986013986013986,0.26
frozen_attn,15,0,PED,0.8145589973527081,0.6611666666666667,0.9,0.2142857142857142,0.97
frozen_mean,15,0,IRF,0.6683947811909674,0.806400673755132,0.4576271186440678,0.9472049689440992,0.36
frozen_mean,15,0,SRF,0.9559035323648668,0.903887358432813,0.7542087542087542,0.8671328671328671,0.55
frozen_mean,15,0,PED,0.8344568965623501,0.6769047619047619,0.6033333333333334,0.5642857142857143,0.97
frozen_attn,15,1,IRF,0.3025908606744132,0.5786661753868828,0.0,0.9813664596273292,0.02
frozen_attn,15,1,SRF,0.9848726916320918,0.9686845141390596,0.9696969696969696,0.8601398601398601,0.97
frozen_attn,15,1,PED,0.8892888902329226,0.7943809523809524,0.8966666666666666,0.4285714285714285,0.94
frozen_mean,15,1,IRF,0.3211101503327574,0.5376355405832193,0.3220338983050847,0.7888198757763976,0.18
frozen_mean,15,1,SRF,0.9390472093461196,0.8821077911987003,0.7878787878787878,0.8601398601398601,0.9
frozen_mean,15,1,PED,0.8436033681003507,0.7216904761904761,0.34,0.9071428571428573,0.97
frozen_attn,15,2,IRF,0.7526161569853338,0.8202179176755449,0.3305084745762712,0.9906832298136646,0.02
frozen_attn,15,2,SRF,0.764793404882153,0.5631842904570178,0.3367003367003367,0.8111888111888111,0.02
frozen_attn,15,2,PED,0.8179222608485758,0.6859523809523809,0.9233333333333332,0.3285714285714285,0.02
frozen_mean,15,2,IRF,0.7176058063179369,0.778581955995368,0.4067796610169492,0.9937888198757764,0.43
frozen_mean,15,2,SRF,0.8448418122884985,0.6897647806738716,0.5488215488215489,0.7762237762237763,0.31
frozen_mean,15,2,PED,0.8150781054202537,0.7248571428571429,0.9133333333333332,0.45,0.34
frozen_attn,30,0,IRF,0.7954709566473894,0.875197389198863,0.6610169491525424,0.9472049689440992,0.02
frozen_attn,30,0,SRF,0.9845877220061048,0.9639283275646912,0.8585858585858586,0.986013986013986,0.88
frozen_attn,30,0,PED,0.8390534607922453,0.7382619047619048,0.8966666666666666,0.3,0.96
frozen_mean,30,0,IRF,0.6655247549723068,0.8429571533845669,0.7288135593220338,0.8198757763975155,0.21
frozen_mean,30,0,SRF,0.9559462069150576,0.9051588142497232,0.5993265993265994,0.986013986013986,0.93
frozen_mean,30,0,PED,0.8494853699347683,0.7137142857142857,0.6566666666666666,0.6714285714285714,0.86
frozen_attn,30,1,IRF,0.7158446423151482,0.8695125802716075,0.3050847457627119,0.9720496894409938,0.03
frozen_attn,30,1,SRF,0.9826330944258644,0.9628923265286902,0.9629629629629628,0.8181818181818182,0.95
frozen_attn,30,1,PED,0.9492764032968692,0.8982619047619048,0.98,0.5071428571428571,0.8
frozen_mean,30,1,IRF,0.543362128642395,0.7580008421939151,0.6271186440677966,0.7639751552795031,0.1
frozen_mean,30,1,SRF,0.979172517345088,0.9530032257304986,0.7070707070707071,0.9790209790209792,0.8200000000000001
frozen_mean,30,1,PED,0.9097573539103168,0.810047619047619,0.72,0.7642857142857142,0.8500000000000001
frozen_attn,30,2,IRF,0.7899682389745363,0.8900147383935152,0.5169491525423728,0.9720496894409938,0.24
frozen_attn,30,2,SRF,0.9820239253778787,0.9573120482211392,0.8484848484848485,0.972027972027972,0.47
frozen_attn,30,2,PED,0.909035167304726,0.8183809523809523,0.8666666666666667,0.5285714285714286,0.08
frozen_mean,30,2,IRF,0.65880803466648,0.7923465627960837,0.4152542372881356,0.9503105590062112,0.42
frozen_mean,30,2,SRF,0.9638151092793694,0.919568646841374,0.7878787878787878,0.951048951048951,0.5800000000000001
frozen_mean,30,2,PED,0.8645548584713633,0.7532857142857143,0.9833333333333332,0.1928571428571428,0.22
frozen_attn,60,0,IRF,0.7995788368051943,0.9009895778503002,0.652542372881356,0.953416149068323,0.21
frozen_attn,60,0,SRF,0.9833252998992096,0.957382684655412,0.8787878787878788,0.965034965034965,0.66
frozen_attn,60,0,PED,0.9494008952141252,0.8888095238095237,0.92,0.4714285714285714,0.55
frozen_mean,60,0,IRF,0.5957012339791572,0.7833192967680809,0.4406779661016949,0.9192546583850932,0.44
frozen_mean,60,0,SRF,0.9730885010626278,0.9390407572225754,0.6936026936026936,0.9790209790209792,0.78
