arm,pool,n_patients,seed,cls,n_train_scans,auprc,auroc,recall,spec,thr,L,lr,wd,epochs
frozen_attn,attn,15,0,IRF,341,0.823164674537608,0.885777450257922,0.423728813559322,0.9906832298136646,0.26,64,0.001,0.001,39
frozen_attn,attn,15,0,SRF,341,0.973278710001684,0.9360975724612088,0.8013468013468014,0.986013986013986,0.26,32,0.003,0.001,433
frozen_attn,attn,15,0,PED,341,0.8145589973527081,0.6611666666666667,0.9,0.21428571428571427,0.9700000000000001,32,0.003,0.001,236
frozen_mean,mean,15,0,IRF,341,0.6683947811909674,0.806400673755132,0.4576271186440678,0.9472049689440993,0.36000000000000004,64,0.001,0.001,39
frozen_mean,mean,15,0,SRF,341,0.9559035323648668,0.903887358432813,0.7542087542087542,0.8671328671328671,0.55,32,0.003,0.001,433
frozen_mean,mean,15,0,PED,341,0.8344568965623501,0.6769047619047619,0.6033333333333334,0.5642857142857143,0.9700000000000001,32,0.003,0.001,236
frozen_attn,attn,15,1,IRF,279,0.30259086067441326,0.5786661753868828,0.0,0.9813664596273292,0.02,64,0.001,0.001,39
frozen_attn,attn,15,1,SRF,279,0.9848726916320918,0.9686845141390596,0.9696969696969697,0.8601398601398601,0.9700000000000001,32,0.003,0.001,433
frozen_attn,attn,15,1,PED,279,0.8892888902329226,0.7943809523809524,0.8966666666666666,0.42857142857142855,0.9400000000000001,32,0.003,0.001,236
frozen_mean,mean,15,1,IRF,279,0.3211101503327574,0.5376355405832193,0.3220338983050847,0.7888198757763976,0.18,64,0.001,0.001,39
frozen_mean,mean,15,1,SRF,279,0.9390472093461197,0.8821077911987003,0.7878787878787878,0.8601398601398601,0.9,32,0.003,0.001,433
frozen_mean,mean,15,1,PED,279,0.8436033681003507,0.7216904761904761,0.34,0.9071428571428571,0.9700000000000001,32,0.003,0.001,236
frozen_attn,attn,15,2,IRF,298,0.7526161569853338,0.8202179176755449,0.3305084745762712,0.9906832298136646,0.02,64,0.001,0.001,39
frozen_attn,attn,15,2,SRF,298,0.764793404882153,0.5631842904570178,0.3367003367003367,0.8111888111888111,0.02,32,0.003,0.001,433
frozen_attn,attn,15,2,PED,298,0.8179222608485758,0.6859523809523809,0.9233333333333333,0.32857142857142857,0.02,32,0.003,0.001,236
frozen_mean,mean,15,2,IRF,298,0.7176058063179369,0.778581955995368,0.4067796610169492,0.9937888198757764,0.43000000000000005,64,0.001,0.001,39
frozen_mean,mean,15,2,SRF,298,0.8448418122884985,0.6897647806738716,0.5488215488215489,0.7762237762237763,0.31,32,0.003,0.001,433
frozen_mean,mean,15,2,PED,298,0.8150781054202537,0.7248571428571429,0.9133333333333333,0.45,0.34,32,0.003,0.001,236
frozen_attn,attn,30,0,IRF,631,0.7954709566473894,0.875197389198863,0.6610169491525424,0.9472049689440993,0.02,64,0.001,0.001,20
frozen_attn,attn,30,0,SRF,631,0.9845877220061048,0.9639283275646913,0.8585858585858586,0.986013986013986,0.88,32,0.003,0.001,216
frozen_attn,attn,30,0,PED,631,0.8390534607922453,0.7382619047619048,0.8966666666666666,0.3,0.9600000000000001,32,0.003,0.001,118
frozen_mean,mean,30,0,IRF,631,0.6655247549723068,0.8429571533845669,0.7288135593220338,0.8198757763975155,0.21,64,0.001,0.001,20
frozen_mean,mean,30,0,SRF,631,0.9559462069150575,0.9051588142497232,0.5993265993265994,0.986013986013986,0.93,32,0.003,0.001,216
frozen_mean,mean,30,0,PED,631,0.8494853699347683,0.7137142857142857,0.6566666666666666,0.6714285714285714,0.86,32,0.003,0.001,118
frozen_attn,attn,30,1,IRF,649,0.7158446423151482,0.8695125802716075,0.3050847457627119,0.9720496894409938,0.03,64,0.001,0.001,20
frozen_attn,attn,30,1,SRF,649,0.9826330944258643,0.9628923265286902,0.9629629629629629,0.8181818181818182,0.9500000000000001,32,0.003,0.001,216
frozen_attn,attn,30,1,PED,649,0.9492764032968692,0.8982619047619048,0.98,0.5071428571428571,0.8,32,0.003,0.001,118
frozen_mean,mean,30,1,IRF,649,0.543362128642395,0.7580008421939151,0.6271186440677966,0.7639751552795031,0.1,64,0.001,0.001,20
frozen_mean,mean,30,1,SRF,649,0.979172517345088,0.9530032257304986,0.7070707070707071,0.9790209790209791,0.8200000000000001,32,0.003,0.001,216
